id,polititian_id,degree,center,description,start_at,end_at,created_at,updated_at
1006,1006,Abogada,ICADE E2,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1020,1020,Abogado,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1078,1078,Abogado,Universidad de Deusto,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1000,1000,Ciencias Económicas y Empresariales,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1019,1019,Ciencias Empresariales,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1036,1036,Doctor en Derecho,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1089,1089,Doctor en Derecho,Universidad de Santiago de Compostela,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1038,1038,Doctor en Derecho y ilosofia y Letras,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1084,1084,Doctor en Economia,Universidad de Oxford,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1032,1032,Doctor en Geografia e Historia,Universidad de Salamanca,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1047,1047,Doctor en Historia,Instituto de Empresa,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1072,1072,Doctora en Filosofia,University of Warwick,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1002,1002,Filología Vasca,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1063,1063,Ingeniera de Obras Publicas especialidad en Obras Hidraulicas,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1074,1074,Ingeniero de caminos canales y puertos,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1097,1097,Ingeniero Industrial,UNED (Bergara),,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1025,1025,Licenciada en Administracion y Direccion de Empresas,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1079,1079,Licenciada en Ciencias de la Informacion,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1026,1026,Licenciada en Ciencias de la Informacion (rama Periodismo),,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1088,1088,Licenciada en Ciencias Economicas y Empresariales,Universidad Pablo de Olavide (Sevilla),,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1094,1094,Licenciada en Ciencias Economicas y Empresariales,Universidad Complutense de Madrid,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1042,1042,Licenciada en Ciencias Politicas y Sociologia,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1004,1004,Licenciada en Derecho,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1016,1016,Licenciada en Derecho,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1021,1021,Licenciada en Derecho,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1028,1028,Licenciada en Derecho,Universidad de Deusto,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1033,1033,Licenciada en Derecho,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1035,1035,Licenciada en Derecho,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1046,1046,Licenciada en Derecho,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1065,1065,Licenciada en Derecho,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1069,1069,Licenciada en derecho,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1071,1071,Licenciada en Derecho,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1073,1073,Licenciada en Derecho,Alemania,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1087,1087,Licenciada en Derecho,Universidad de Salamanca,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1090,1090,Licenciada en Derecho,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1092,1092,Licenciada en Derecho,UNED,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1043,1043,Licenciada en Economicas y Empresariales,Universidad Complutense de Madrid,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1048,1048,Licenciada en Filosofia y Letras,Universidad de Alicante,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1012,1012,Licenciada en Historia,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1062,1062,Licenciada en Medicina y Cirugia,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1099,1099,Licenciada en Medicina y Cirugia,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1051,1051,Licenciada en Medicina y Cirugia especialidad Cardiologia,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1083,1083,Licenciada en Periodismo,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1054,1054,Licenciado en Ciencias Politicas,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1095,1095,Licenciado en Ciencias Politicas y de la Administracion,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1005,1005,Licenciado en Derecho,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1023,1023,Licenciado en Derecho,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1024,1024,Licenciado en Derecho,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1031,1031,Licenciado en Derecho,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1034,1034,Licenciado en Derecho,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1037,1037,Licenciado en Derecho,Universidad de Alicante,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1039,1039,Licenciado en Derecho,Universidad de Valencia,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1055,1055,Licenciado en Derecho,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1057,1057,Licenciado en Derecho,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1058,1058,Licenciado en Derecho,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1064,1064,Licenciado en Derecho,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1066,1066,Licenciado en Derecho,Universidad de Oviedo,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1070,1070,Licenciado en Derecho,Universidad Politecnica de Alicante,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1076,1076,Licenciado en Derecho,Universidad Complutense de Madrid,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1080,1080,Licenciado en Derecho,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1081,1081,Licenciado en Derecho,Universidad de Granada,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1082,1082,Licenciado en Derecho,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1086,1086,Licenciado en Derecho,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1098,1098,Licenciado en Derecho,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1010,1010,Licenciado en Farmacia,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
1008,1008,Licenciado en Filologia Romantica,,,,,04/02/14 08:40 PM,04/02/14 08:40 PM
