id,first_name,last_name,political_position,political_position_start_at,political_position_end_at,avatar,crated_at,updated_at
1000,Juan Antonio,Abad Pérez,Diputado por la Rioja,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/87_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1001,Jose Luis,Abalos Meco,Diputado por Valencia,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/268_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1002,Joseba Andoni,Agirretxea Urresti,Diputado por Guipuzcoa,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/380_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1003,Ernesto,Aguiar Rodriguez,Diputado por Santa Cruz de Tenerife,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/171_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1004,Rosa,Aguiar Rivero,Diputada por Cordoba,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/145_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1005,Juan Manuel,Albendea Pabon,Diputado por Sevilla,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/12_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1006,Celia,Alberto Perez,Diputada por Las Palmas,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/173_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1007,Maria Pilar,Alegria Continente,Diputada por Zaragoza,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/242_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1008,Alfonso,Alonso Aranegui,Diputado por Araba/Alava,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/242_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1009,Alejandro,Alonso Nuñez,Diputado por Toledo,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/123_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1010,Jose Maria,Alonso Ruiz,Diputado por Cantabria,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/225_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1011,Angeles,Alvarez Alvarez,Diputada por Madrid,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/99_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1012,Cayetana,Alvarez de Toledo Peralta Ramos,Diputada por Madrid,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/312_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1013,Enrique,Alvarez Sostres,Diputado por Asturias,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/226_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1014,Maria del Carmen,Alvarez-Arenas Cisneros,Diputada por Madrid,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/74_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1015,Alvaro,Anchuelo Crego,Diputado por Macrid,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/45_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1016,Maria Teresa,Angulo Romero,Diputada por Badajoz,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/148_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1017,Carlos,Aragones Mendiguchia,Diputado por Madrid,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/108_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1018,Rogelio ,Araujo Gil,Diputado por Illes Balears,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/355_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1019,Maria de la O,Ares Martinez-Fortun,Diputada por Illes Balears,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/4_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1020,Miguel,Arias Cañete,Diputado por Madrid,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/35_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
1021,Maite,Ariztegui Larrañaga,Diputada por Gipuzkoa,11/20/11,,http://www.congreso.es/wc/htdocs/web/img/diputados/340_10.jpg,04/02/14 08:40 PM,04/02/14 08:40 PM
